Season,PlayerId,TeamId,FranchiseId,First Name,Last Name,Nick Name,Height,Weight,Date Of Birth,Hand,G,LD,RD,LW,C,RW,Aggression,Bravery,Determination,Teamplayer,Leadership,Temperament,Professionalism,Mental Toughness,Goalie Stamina,Acceleration,Agility,Balance,Speed,Stamina,Strength,Fighting,Screening,Getting Open,Passing,Puck Handling,Shooting Accuracy,Shooting Range,Offensive Read,Checking,Faceoffs,Hitting,Positioning,Shot Blocking,Stickchecking,Defensive Read,G Positioning,G Passing,G Pokecheck,Blocker,Glove,Rebound,Recovery,G Puckhandling,Low Shots,G Skating,Reflexes,Skating,Shooting,Playmaking,Defending,Physicality,Conditioning,Character,Hockey Sense,Goalie Technique,Goalie Overall Positioning,Ability,Potential
2034/2035,86,5090,5090,Karl,Sterner,`,76,227,2006-3-29,Left,0,12,10,14,19,20,9,15,13,15,13,14,12,1,1,18,15,16,17,15,15,12,17,17,17,18,18,7,19,14,11,13,15,9,12,15,1,1,1,1,1,1,1,1,1,1,1,17,16,13,12,13,17,11,18,0,0,4,4
2034/2035,100,5090,5090,Igor,Nechayev,,72,207,2006-4-21,Left,0,17,11,12,20,18,7,12,11,15,12,13,12,1,1,15,18,15,13,16,11,7,14,16,16,15,17,8,15,12,16,11,15,8,15,12,1,1,1,1,1,1,1,1,1,1,1,14,16,14,12,11,17,10,15,0,0,2.5,2.5
2034/2035,120,17,17,Matvei,Michkov,,72,212,2004-12-9,Left,0,7,8,15,11,20,9,14,14,14,13,13,17,1,1,19,18,17,18,17,15,10,18,18,18,17,19,9,16,14,14,15,15,8,13,14,1,1,1,1,1,1,1,1,1,1,1,18,18,13,12,14,18,12,17,0,0,5,5
2034/2035,130,17,17,Nikita,Artamonov,,71,204,2005-11-17,Left,0,9,11,16,12,20,8,15,15,15,15,14,19,1,1,16,15,17,14,15,12,7,12,15,16,17,16,8,16,11,11,10,12,6,14,14,1,1,1,1,1,1,1,1,1,1,1,15,16,13,10,11,17,12,15,0,0,2.5,2.5
2034/2035,176,4182,4182,Cameron,Schmidt,,72,207,2007-1-19,Right,0,15,9,14,18,20,7,12,17,14,14,13,12,1,1,17,16,17,16,15,14,9,15,18,16,18,16,8,17,14,13,11,18,9,16,18,1,1,1,1,1,1,1,1,1,1,1,16,16,13,14,11,17,12,17,0,0,3.5,3.5
2034/2035,156543,23,23,Karampreet,Gill,,75,227,2011-10-21,Left,0,8,8,13,20,13,11,12,16,12,13,9,17,1,1,12,14,13,14,17,12,9,15,14,14,15,14,8,14,12,14,11,13,9,12,15,1,1,1,1,1,1,1,1,1,1,1,13,15,12,11,12,18,12,14,0,0,2.5,3
2034/2035,307,20,20,Carson,Wetsch,,75,228,2006-5-4,Right,0,5,8,19,20,19,13,16,12,15,15,8,17,1,1,15,14,15,14,16,14,12,16,15,14,19,14,6,16,16,15,15,15,8,15,13,1,1,1,1,1,1,1,1,1,1,1,14,13,13,13,14,17,12,15,0,0,2.5,2.5
2034/2035,146199,14,14,Evan,Buck,,72,211,2009-7-11,Left,0,20,15,8,5,5,8,11,17,12,13,19,15,1,1,16,16,16,17,18,12,9,11,14,17,19,11,19,17,18,12,14,18,17,18,18,1,1,1,1,1,1,1,1,1,1,1,16,15,13,17,11,18,12,18,0,0,4.5,5
2034/2035,386,5090,5090,Nikita,Onishko,,75,227,2006-4-21,Left,0,5,8,17,10,20,8,11,12,13,11,14,13,1,1,18,18,19,17,18,14,8,17,17,16,17,17,9,17,12,11,10,14,7,15,14,1,1,1,1,1,1,1,1,1,1,1,18,17,13,12,12,18,11,17,0,0,3.5,3.5
2034/2035,407,0,0,Kimo,Gruber,,75,226,2005-4-11,Left,0,8,8,15,20,19,8,14,14,16,17,13,14,1,1,15,14,15,17,18,14,9,17,16,15,16,16,6,15,14,14,11,15,7,17,15,1,1,1,1,1,1,1,1,1,1,1,15,14,13,13,12,19,12,15,0,0,3.5,3.5
